DateTime vs Times   pap
Start Time:  Mar 01 2012 00:00:00.000
End Time:  Mar 30 2012 00:00:00.000
Flavor:  Chocolate
Thing 1:  Yes
Thing 2:  Yes

         Date/Time                Value 1.           Value 2.
           (UTC)                   (sec)               (m)
   03/15/2012 15:49:00.963     495.418000000   -1716.280811881
   03/15/2012 17:27:53.948     495.203999954   -1946.083064762
   03/15/2012 19:06:46.944     495.033000014   -3373.710857788
   03/15/2012 20:45:39.964     494.851999939   -2837.235712151
   03/15/2012 22:24:32.983     494.661999901   -2084.815163573
   03/16/2012 00:03:25.973     494.469999836   -1384.962740175
   03/16/2012 01:42:18.995     494.280999969   -3075.768700563
   03/16/2012 03:21:11.935     494.094999984   -3170.999803949
   03/16/2012 05:00:04.872     493.909000000   -2418.278483336
   03/16/2012 06:38:57.881     493.715000222   -1718.936584029
   03/16/2012 08:17:50.977     493.500999862   -2000.236493687
   03/16/2012 09:56:44.074     493.333000119   -3375.186954530
   03/16/2012 11:35:37.074     493.153000216   -2827.622179171
   03/16/2012 13:14:30.004     492.960999836   -2088.695717762
   03/16/2012 14:53:22.906     492.769000086   -1409.747415162
   03/16/2012 16:32:15.885     492.581000074   -3108.975805271
   03/16/2012 18:11:08.861     492.394000234   -3162.792489703
   03/16/2012 19:50:01.822     492.207999935   -2410.418055611
   03/16/2012 21:28:54.845     492.012000130   -1720.044023237
   03/16/2012 23:07:47.845     491.800999967   -2056.833087829
   03/17/2012 00:46:40.860     491.635000252   -3308.500705456
   03/17/2012 02:25:33.811     491.454000177   -2808.670154380
   03/17/2012 04:04:26.727     491.262000112   -2083.438690805
   03/17/2012 05:43:19.696     491.066999850   -1432.503579214
   03/17/2012 07:22:12.791     490.876999812   -3133.575150649
   03/17/2012 09:01:05.888     490.692999854   -3149.639694855
   03/17/2012 10:39:58.903     490.506000014   -2402.203788743
   03/17/2012 12:18:51.870     490.313999949   -1722.100613672
   03/17/2012 13:57:44.795     490.101000073   -2112.243700964
   03/17/2012 15:36:37.756     489.933999872   -3307.145091995
   03/17/2012 17:15:30.718     489.751000085   -2795.317740462
   03/17/2012 18:54:23.642     489.560000191   -2083.369336926
   03/17/2012 20:33:16.638     489.364999929   -1454.507714524
   03/17/2012 22:12:09.708     489.178999944   -3155.240600199
   03/17/2012 23:51:02.697     488.993000274   -3133.874697852
   03/18/2012 01:29:55.653     488.808000146   -2390.175783691
   03/18/2012 03:08:48.572     488.615000225   -1718.228651790
   03/18/2012 04:47:41.503     488.400000008   -2172.590395707
   03/18/2012 06:26:34.554     488.233000122   -3302.833379397
   03/18/2012 08:05:27.632     488.051000191   -2778.599033139
